request,time_stamp,duration (sec),success,generated numbers count,next_interval
1,2026-04-26T21:12:04.144169,0.49,True,10,11.0
2,2026-04-26T21:12:15.329188,0.18,True,10,12.0
3,2026-04-26T21:12:27.509732,0.18,True,10,9.0
4,2026-04-26T21:12:36.767603,0.26,True,10,9.0
5,2026-04-26T21:12:45.951797,0.18,True,10,17.0
6,2026-04-26T21:13:03.153544,0.2,True,10,4.0
7,2026-04-26T21:13:07.329459,0.17,True,10,12.0
8,2026-04-26T21:13:19.502708,0.17,True,10,19.0
9,2026-04-26T21:13:38.677874,0.17,True,10,8.0
10,2026-04-26T21:13:46.861620,0.18,True,10,14.0
11,2026-04-26T21:14:01.046304,0.18,True,10,5.0
12,2026-04-26T21:14:06.217066,0.17,True,10,2.0
13,2026-04-26T21:14:08.413896,0.2,True,10,9.0
14,2026-04-26T21:14:17.639133,0.22,True,10,11.0
15,2026-04-26T21:14:28.848163,0.21,True,10,7.0
16,2026-04-26T21:14:36.040355,0.19,True,10,20.0
17,2026-04-26T21:14:56.234134,0.19,True,10,1.0
18,2026-04-26T21:14:57.412309,0.18,True,10,5.0
19,2026-04-26T21:15:02.596598,0.18,True,10,3.0
20,2026-04-26T21:15:05.777974,0.18,True,10,14.0
21,2026-04-26T21:15:19.963235,0.19,True,10,17.0
22,2026-04-26T21:15:37.152641,0.19,True,10,11.0
23,2026-04-26T21:15:48.340739,0.18,True,10,18.0
24,2026-04-26T21:16:06.538794,0.19,True,10,20.0
25,2026-04-26T21:16:26.723617,0.18,True,10,6.0
26,2026-04-26T21:16:32.909468,0.18,True,10,1.0
27,2026-04-26T21:16:34.122418,0.21,True,10,17.0
28,2026-04-26T21:16:51.309104,0.18,True,10,20.0
29,2026-04-26T21:17:11.513073,0.2,True,10,1.0
30,2026-04-26T21:17:12.691679,0.17,True,10,1.0
31,2026-04-26T21:17:13.870526,0.17,True,10,1.0
32,2026-04-26T21:17:15.052850,0.18,True,10,9.0
33,2026-04-26T21:17:24.501533,0.44,True,10,12.0
34,2026-04-26T21:17:36.682645,0.18,True,10,17.0
35,2026-04-26T21:17:53.862695,0.18,True,10,15.0
36,2026-04-26T21:18:09.051284,0.18,True,10,16.0
37,2026-04-26T21:18:25.240963,0.19,True,10,13.0
38,2026-04-26T21:18:38.415814,0.17,True,10,18.0
39,2026-04-26T21:18:56.600800,0.18,True,10,12.0
40,2026-04-26T21:19:08.773306,0.17,True,10,18.0
41,2026-04-26T21:19:26.953064,0.18,True,10,3.0
42,2026-04-26T21:19:30.142447,0.19,True,10,7.0
43,2026-04-26T21:19:37.323130,0.18,True,10,15.0
44,2026-04-26T21:19:52.511367,0.18,True,10,16.0
45,2026-04-26T21:20:08.691463,0.18,True,10,11.0
46,2026-04-26T21:20:19.903061,0.21,True,10,12.0
47,2026-04-26T21:20:32.095000,0.19,True,10,7.0
48,2026-04-26T21:20:39.277020,0.18,True,10,7.0
49,2026-04-26T21:20:46.457885,0.18,True,10,16.0
50,2026-04-26T21:21:02.642243,0.18,True,10,18.0
51,2026-04-26T21:21:20.894908,0.25,True,10,4.0
52,2026-04-26T21:21:25.094499,0.2,True,10,6.0
53,2026-04-26T21:21:31.286469,0.19,True,10,12.0
54,2026-04-26T21:21:43.473942,0.18,True,10,17.0
55,2026-04-26T21:22:00.649825,0.17,True,10,2.0
56,2026-04-26T21:22:02.836459,0.18,True,10,6.0
57,2026-04-26T21:22:09.008518,0.17,True,10,17.0
58,2026-04-26T21:22:26.195887,0.18,True,10,2.0
59,2026-04-26T21:22:28.381705,0.18,True,10,15.0
60,2026-04-26T21:22:43.861367,0.48,True,10,12.0
61,2026-04-26T21:22:56.054023,0.19,True,10,20.0
62,2026-04-26T21:23:16.238585,0.18,True,10,7.0
63,2026-04-26T21:23:23.412227,0.17,True,10,7.0
64,2026-04-26T21:23:30.615019,0.2,True,10,11.0
65,2026-04-26T21:23:41.817293,0.2,True,10,3.0
66,2026-04-26T21:23:44.998703,0.18,True,10,17.0
67,2026-04-26T21:24:02.205874,0.22,True,10,17.0
68,2026-04-26T21:24:19.405020,0.2,True,10,20.0
69,2026-04-26T21:24:39.575198,0.17,True,10,7.0
70,2026-04-26T21:24:46.773076,0.2,True,10,4.0
71,2026-04-26T21:24:50.951197,0.18,True,10,7.0
72,2026-04-26T21:24:58.123638,0.17,True,10,10.0
73,2026-04-26T21:25:08.297150,0.17,True,10,19.0
74,2026-04-26T21:25:27.517494,0.22,True,10,18.0
75,2026-04-26T21:25:45.694560,0.17,True,10,6.0
76,2026-04-26T21:25:51.872107,0.18,True,10,11.0
77,2026-04-26T21:26:03.066220,0.19,True,10,8.0
78,2026-04-26T21:26:11.256101,0.19,True,10,18.0
79,2026-04-26T21:26:29.428586,0.17,True,10,20.0
80,2026-04-26T21:26:49.631606,0.2,True,10,16.0
81,2026-04-26T21:27:05.815141,0.18,True,10,9.0
82,2026-04-26T21:27:15.010067,0.19,True,10,6.0
83,2026-04-26T21:27:21.191881,0.18,True,10,20.0
84,2026-04-26T21:27:41.370525,0.17,True,10,20.0
85,2026-04-26T21:28:01.553925,0.18,True,10,11.0
86,2026-04-26T21:28:13.050369,0.49,True,10,20.0
87,2026-04-26T21:28:33.231286,0.18,True,10,14.0
88,2026-04-26T21:28:47.423648,0.19,True,10,16.0
89,2026-04-26T21:29:03.607847,0.18,True,10,7.0
90,2026-04-26T21:29:10.798692,0.19,True,10,2.0
91,2026-04-26T21:29:12.975161,0.18,True,10,7.0
92,2026-04-26T21:29:20.159796,0.18,True,10,6.0
93,2026-04-26T21:29:26.345299,0.18,True,10,20.0
94,2026-04-26T21:29:46.562780,0.21,True,10,13.0
95,2026-04-26T21:29:59.741672,0.18,True,10,7.0
96,2026-04-26T21:30:06.946970,0.2,True,10,18.0
97,2026-04-26T21:30:25.144357,0.19,True,10,18.0
98,2026-04-26T21:30:43.347877,0.2,True,10,6.0
99,2026-04-26T21:30:49.506764,0.16,False,0,1.0
100,2026-04-26T21:30:50.674319,0.16,False,0,
