request,time_stamp,duration (sec),success,generated numbers count,next_interval
1,2026-05-02T14:43:05.830879,0.57,True,10,4.0
2,2026-05-02T14:43:10.123536,0.29,True,10,5.0
3,2026-05-02T14:43:15.370047,0.24,True,10,2.0
4,2026-05-02T14:43:17.647823,0.27,True,10,2.0
5,2026-05-02T14:43:19.916209,0.26,True,10,11.0
6,2026-05-02T14:43:31.176209,0.26,True,10,2.0
7,2026-05-02T14:43:33.430682,0.25,True,10,8.0
8,2026-05-02T14:43:41.697249,0.26,True,10,5.0
9,2026-05-02T14:43:46.953718,0.25,True,10,11.0
10,2026-05-02T14:43:58.219007,0.26,True,10,8.0
11,2026-05-02T14:44:06.478831,0.25,True,10,12.0
12,2026-05-02T14:44:18.736895,0.25,True,10,9.0
13,2026-05-02T14:44:28.019766,0.28,True,10,3.0
14,2026-05-02T14:44:31.269528,0.25,True,10,6.0
15,2026-05-02T14:44:37.528398,0.26,True,10,11.0
16,2026-05-02T14:44:48.786174,0.26,True,10,7.0
17,2026-05-02T14:44:56.053920,0.26,True,10,15.0
18,2026-05-02T14:45:11.372265,0.31,True,10,11.0
19,2026-05-02T14:45:22.668014,0.29,True,10,1.0
20,2026-05-02T14:45:23.922490,0.25,True,10,15.0
21,2026-05-02T14:45:39.174299,0.25,True,10,14.0
22,2026-05-02T14:45:53.851169,0.67,True,10,11.0
23,2026-05-02T14:46:05.120269,0.27,True,10,3.0
24,2026-05-02T14:46:08.372019,0.25,True,10,10.0
25,2026-05-02T14:46:18.625036,0.25,True,10,13.0
26,2026-05-02T14:46:31.930989,0.3,True,10,11.0
27,2026-05-02T14:46:43.571278,0.64,True,10,5.0
28,2026-05-02T14:46:48.853332,0.28,True,10,11.0
29,2026-05-02T14:47:00.104198,0.25,True,10,11.0
30,2026-05-02T14:47:11.683265,0.58,True,10,4.0
31,2026-05-02T14:47:16.032862,0.34,True,10,11.0
32,2026-05-02T14:47:27.304515,0.27,True,10,9.0
33,2026-05-02T14:47:36.658516,0.35,True,10,13.0
34,2026-05-02T14:47:50.248697,0.59,True,10,7.0
35,2026-05-02T14:47:57.657837,0.41,True,10,10.0
36,2026-05-02T14:48:08.030079,0.37,True,10,8.0
37,2026-05-02T14:48:16.366132,0.33,True,10,1.0
38,2026-05-02T14:48:17.640665,0.27,True,10,3.0
39,2026-05-02T14:48:20.993225,0.35,True,10,1.0
40,2026-05-02T14:48:22.276113,0.28,True,10,8.0
41,2026-05-02T14:48:31.050553,0.77,True,10,8.0
42,2026-05-02T14:48:39.422691,0.37,True,10,1.0
43,2026-05-02T14:48:40.726999,0.3,True,10,7.0
44,2026-05-02T14:48:47.996181,0.26,True,10,4.0
45,2026-05-02T14:48:52.448998,0.45,True,10,6.0
46,2026-05-02T14:48:58.710220,0.26,True,10,2.0
47,2026-05-02T14:49:00.979191,0.27,True,10,12.0
48,2026-05-02T14:49:13.269511,0.29,True,10,7.0
49,2026-05-02T14:49:20.536087,0.26,True,10,9.0
50,2026-05-02T14:49:29.813933,0.27,True,10,11.0
51,2026-05-02T14:49:41.073644,0.26,True,10,3.0
52,2026-05-02T14:49:44.335683,0.26,True,10,7.0
53,2026-05-02T14:49:51.666676,0.33,True,10,6.0
54,2026-05-02T14:49:57.942136,0.27,True,10,2.0
55,2026-05-02T14:50:00.199485,0.26,True,10,8.0
